VBB-Nr;HAFAS-Nr;NAME;KOORDINATE_Y;KOORDINATE_X;lat;lon
350950;9350950;Biesenthal, Wendestelle Ambulatorium;5849617;4608864;52768344;13611432
350951;9350951;Blumberg (BAR), Kleine Bahnhofstr.;5831282;4609548;52603507;13615469
350952;9350952;Stolzenhagen (bei Wandlitz), Stolzenfels;5849571;4598275;52769958;13454588
350953;9350953;Blumberg (BAR), Gutshof;5832174;4608137;52611802;13594942
351000;9351000;Eberswalde, A.-Nobel-Str.;5859573;4619571;52855506;13773629
351001;9351001;Eberswalde, Wald-Solar-Heim;5856412;4621906;52826592;13807096
351002;9351002;Eberswalde, Ostpark (TGE);5859840;4620003;52857808;13780137
351003;9351003;Eberswalde, Brunnenstr.;5856682;4622169;52828958;13811097
351004;9351004;Eberswalde, Pfeilstr.;5856928;4622465;52831100;13815578
353148;9353148;Danewitz, Kirche;5845899;4612673;52734167;13666566
353259;9353259;Werftpfuhl, Dorf/B 158;5837756;4621309;52659162;13791355
360000;9360000;Frankfurt (Oder), Bahnhof;5803476;4673694;52337180;14546999
360001;9360001;Frankfurt (Oder), Neuberesinchen Bhf;5801890;4673754;52322922;14547059
360002;9360002;Frankfurt (Oder), Gymnasium;5804561;4671501;52347610;14515409
360003;9360003;Frankfurt (Oder), Malchow Fšrstereiweg;5797127;4671634;52280825;14513572
360004;9360004;Frankfurt (Oder), Rosengarten Bhf;5803419;4668559;52338268;14471704
360007;9360007;Frankfurt (Oder), Rosengarten Weidenweg;5803961;4668673;52343099;14473647
360010;9360010;Frankfurt (Oder), Abzweig Rosengarten;5804546;4668630;52348365;14473310
360011;9360011;Frankfurt (Oder), Am MessegelŠnde;5804238;4670612;52344987;14502212
360012;9360012;Frankfurt (Oder), Am Winterhafen;5805507;4673630;52355434;14547109
360013;9360013;Frankfurt (Oder), An der Alten UniversitŠt;5804577;4673730;52347053;14548095
360014;9360014;Frankfurt (Oder), An der Lebuser Chaussee;5808093;4671720;52379252;14520425
360015;9360015;Frankfurt (Oder), Anger;5803194;4674138;52334507;14553360
360016;9360016;Frankfurt (Oder), Helenesee Bhf;5796814;4669230;52278759;14478223
360017;9360017;Frankfurt (Oder), Bahnhof Ausstieg;5803425;4673735;52336709;14547573
360019;9360019;Frankfurt (Oder), Bergstr.;5805212;4673519;52352821;14545329
360020;9360020;Frankfurt (Oder), Holzmarkt;5804302;4674351;52344387;14557056
360021;9360021;Frankfurt (Oder), Kleist Forum;5804019;4673462;52342128;14543878
360022;9360022;Frankfurt (Oder), Baumschulenweg;5802893;4671978;52332485;14521549
360023;9360023;Frankfurt (Oder), Beckmannstr.;5804887;4673163;52350015;14539942
360024;9360024;Frankfurt (Oder), Berliner Chaussee;5806273;4672394;52362701;14529379
360025;9360025;Frankfurt (Oder), Birkenallee;5802367;4673274;52327356;14540272
360026;9360026;Frankfurt (Oder), Gro§e Oderstr.;5803992;4674214;52341648;14554887
360027;9360027;Frankfurt (Oder), BirnbaumsmŸhle;5804866;4670556;52350643;14501709
360028;9360028;Frankfurt (Oder), Bischofstr.;5804228;4674208;52343768;14554922
360029;9360029;Frankfurt (Oder), Boo§en BrŸcke;5807021;4669559;52370300;14488179
360030;9360030;Frankfurt (Oder), Boo§en Forstweg;5807208;4667834;52372510;14462969
360031;9360031;Frankfurt (Oder), Boo§en Kleine Str.;5807066;4669079;52370852;14481161
360032;9360032;Frankfurt (Oder), Boo§en Schule;5806938;4668174;52369981;14467822
360033;9360033;Frankfurt (Oder), Boo§en Bergstr.;5807148;4668551;52371751;14473457
360034;9360034;Frankfurt (Oder), Botanischer Garten;5805088;4672466;52352039;14529827
360035;9360035;Frankfurt (Oder), Bruno-Peters-Berg;5804735;4673386;52348580;14543133
360036;9360036;Frankfurt (Oder), Damaschkeweg;5803444;4672209;52337360;14525217
360037;9360037;Frankfurt (Oder), Dresdener Platz;5803333;4673338;52336008;14541707
360038;9360038;Frankfurt (Oder), Europa-UniversitŠt;5803939;4674410;52341110;14557733
360039;9360039;Frankfurt (Oder), Franz-Mehring-Str.;5804128;4673620;52343057;14546250
360040;9360040;Frankfurt (Oder), Conergy SolarModule;5801709;4670694;52322256;14502131
360041;9360041;Frankfurt (Oder), Friedhof;5802772;4672378;52331274;14527350
360042;9360042;Frankfurt (Oder), Friedrich-Ebert-Str.;5803919;4670797;52342066;14504762
360043;9360043;Frankfurt (Oder), G.-Hauptmann-Str.;5804504;4671497;52347100;14515321
360044;9360044;Frankfurt (Oder), Gertraudenkirche;5803460;4674088;52336911;14552765
360045;9360045;Frankfurt (Oder), Goethestr.;5804363;4672027;52345668;14523019
360046;9360046;Frankfurt (Oder), Grenzbahnhof;5801451;4674242;52318826;14553982
360047;9360047;Frankfurt (Oder), Gro§e MŸllroser Str.;5803095;4673520;52333814;14544252
360048;9360048;Frankfurt (Oder), Grubenstr.;5805514;4669639;52356745;14488592
360049;9360049;Frankfurt (Oder), Bremsdorfer Str.;5801824;4671080;52323168;14507845
360050;9360050;Frankfurt (Oder), Fuchsweg;5798932;4668797;52297908;14472944
360051;9360051;Frankfurt (Oder), GŸldendorf B 112;5800181;4672633;52307931;14529758
360052;9360052;Frankfurt (Oder), GŸldendorf Kehrwiederstr.;5800758;4673623;52312800;14544556
360053;9360053;Frankfurt (Oder), GŸldendorf Krumme Str.;5800640;4673037;52311925;14535912
360054;9360054;Frankfurt (Oder), GŸldendorf See;5800786;4673369;52313132;14540850
360055;9360055;Frankfurt (Oder), Hamburger Str.;5805536;4672680;52355994;14533194
360056;9360056;Frankfurt (Oder), First Solar Manufacturing;5800052;4669131;52307862;14478398
360057;9360057;Frankfurt (Oder), Hansastr.;5805672;4672844;52357164;14535669
360058;9360058;Frankfurt (Oder), Heinrich-Heine-Str.;5805078;4670089;52352691;14494970
360059;9360059;Frankfurt (Oder), Heinrich-Hildebrand-Str.;5803057;4672871;52333678;14534721
360060;9360060;Frankfurt (Oder), Helenesee;5796927;4670790;52279291;14501116
360061;9360061;Frankfurt (Oder), Hexenberg;5808162;4670444;52380270;14501740
360062;9360062;Frankfurt (Oder), Hohenwalde Kreuzung;5797066;4667210;52281639;14448778
360063;9360063;Frankfurt (Oder), Hohenwalde Dorfstr.;5797263;4666437;52283642;14437559
360064;9360064;Frankfurt (Oder), Am Wildpark;5804166;4668659;52344944;14473545
360065;9360065;Frankfurt (Oder), Johann-Eichorn-Str.;5802935;4673181;52332485;14539201
360066;9360066;Frankfurt (Oder), Josef-Gesing-Str.;5804868;4671794;52350275;14519861
360067;9360067;Frankfurt (Oder), Kantstr.;5804070;4672725;52342818;14533101
360068;9360068;Frankfurt (Oder), Karl-Marx-Str.;5804323;4673938;52344707;14551013
